Comments,HateSpeech
এগুলা সব ওরে শিখাই দেওয়া হইছে ,0
নাটক খুব সুন্দর চিল ,0
তোমার পাইকা গেছে বাল আর ঢেকে রাখবা কতকাল,1
লে কিছু কিছু বেডিরা কুত্তার পুটকির মতো করে কথা বলে ,1
বুইড়া একটা কঠিন বাইনচোদ ,1
এই বুড়া রাজাকার ছিল আমি নিশ্চিত,1
বুড়া মানুষ যে মানুষে চুদানা এটাই তার প্রমাণ,1
কাকায় অল্প বয়সে মারাত্মক ঘারতেরা আছিলো,0
সব বন্ধুর গোয়ার মধ্যে আঙুল দিতো,1
বুইরা এমন আমার শাতে করতি দোকানের মধ্যে ফালাইয়া দর্শন করে দিতাম ,0
বরো জানোয়ার হলো জে বদমাইস ভিডিওটা করে নেটে ছেরে দিচে,1
নোয়াখালীর মানুষ এবং মেয়েরা দশ টাকার জন্য নিচের কাপড় খুলে দেয়,0
"৪ নয় ৪০০ বার উঠামু, কোনো বাল হালাইনা কেউ নাই আমার ",1
ওরে বুইড়া চোদা ওরে বুইড়া চোদা,1
কত মানুষ করোনায় মারা গেল। তোরা কোথায় ছিলি,0
আমি বলবো ভিডিও যাই করছে তাই হল একটা মাদারচোদ,1
যাই হাত মেরে আছি ,1
"যখন কেয়ামত আসবে, বাংলাদেশ থেকে শুরু হবে, শুধুমাত্র এদের জন্য আর তোমাদের প্রয়োজনীয় দুদু সবাইকে খাওয়াও বালের মত চেহারা এ বেটির",1
আবারও নতুন কাহিনি শুরু ,0
"মুরগি আর মাছ কাটতে পারো না, ধন ত ঠিকই কাটতে পারো ",0
হাতের কি অবস্থা কাটা গাঁজা খেয়ে কাটছে ,0
মাইয়া ডেনডি খোর ,0
নটি দের ভিডিও কে দেখে,1
এই বঠি দা দিয়ে নুনু কাটছে,1
ধোন কাটার পরে এদের ভিডিও বেশি দেকাছে,1
"ফক্কির বাচ্ছাদের বাহানা,",1
মাছ কাটতে কাটতে নুনু কাইটা দিয়েছে,1
তুই আর কোন নতুন করে ভিডিও দিবি না তোর সাথে ফেসবুকে ঢুকতে পারি না চুতমারানি,1
"আবার শুরু হয়েছে। আগের বার থুতু খাইছে, এবার হাগু খাইবো, পাডার ঘরের পাডা।",1
"মাদারবোর্ড আবার শুরু করছে,",1
বাবা খোর হাতে বেলেট দিয়ে কেটে কি অবস্থা করছে,0
ভাই নুনু বলে কাটছে,0
মেয়ের হাতের অবস্থা দেখেন পুরো মাল খোর সব দুই টাই মাল খোর,0
মাছ কাটতে কাটতে টুনটুনি কেটে দিলো,0
এক দুই সাড়ে তিন সোনার মাথা গেছে মমিসিং,0
এই যে ধন টা কাটল কি গটি অইবো ভাই তর,0
এই বাবা চুদির আসে কোত্থেকে খালি,1
তুই একটা ব্র্যান্ডের চুতমারানি,1
কুত্তা যদি হেতিরে দেখে কুত্তা সোনা খাড়া হবে না,0
"এসব আগল পাগলের ভিডিও কেনো যে আমার সামনে আসে, বিরক্তিকর,",1
"মাছ কারতে কারতে, তোমার নুনু কারছে,",0
মাছ কুইটা টেডিং লইয়া এখন তুমার নুনুই কুইতা দিছে,0
মাংগের নাতিরা কি বাল বানাস এগ্লা,1
দিছে না তোমার ধোনটা কাইটা,1
হেতির নাম বলে শিখা খান কুত্তা রে দিলে হেতিরে চোদনা,1
মাছ কাটতে কাটতে ধন টাও কাইটা দিলো,0
নেও এবার দিছে নুনু কাইটা,1
দুইটা ঠ্যালা খাওয়ার পাগল। এজন্য লজ্জা নাই এগুলার। ,0
তোর ধোন আর একটা যদি থাকতো সেটাও কাটবে সেখা শালা ভালো একটা কাজ করেছে,1
চুতমারানীর পুরা মাগীর মত লাগে দেখতে,1
হালার ধন কারছে ভাল হইছে,1
বস্তি খানকির পোলারা,1
"এবার বোঝ সাকিব কোন পেত্নীর পিছনে ঘুরছো এতোদিন, যে তোমার নুনু খাইয়া ফেলছে,",1
এই জন‍্য তোমার নুনু নিয়ে গেছে,1
মানুষের বাচ্চা কি ছাত্র লিগ,0
এই জানোয়ারের বাচ্চাদেরকে যদি আমি পাইতাম ,1
দেশ টারে লুটপাট করে খেয়ে ফকিন্নি পোলারা,1
"ছাত্রলীগের দালাল তোরাই খানকির পোলা, কুত্তালীগ",1
মা তুলে গালি দিয়া মারতাছে এতেই বোঝা যায় তাদের জন্ম যে রাস্তা ঘাটে হইছে,1
বেশ্যাখানায় কনডম ফুটে জমা নেওয়া বাচ্চারাই হলো ছাত্রলীগ,1
ছাত্রলীগের মায়রে চুদি,1
বাংলাদেশ কুকুর লীগ,0
মাদারচুদ তরা,1
যৌন কর্মীর ছেলে ছাড়া অন্য কেউ ছাএলীগ করতে পারে না।,1
"ছাত্রলীগ যেগুলোই করে, ওগুলো সব কুলাঙ্গার",1
আইনের আওতায় আনা হউক সালা বাঞ্চুদের কে,1
"এদের তো জন্মর ঠিক নাই ভাই, এদের পতিতালয় থেকে দত্তক নিছে",0
ওরাতু জারজ,1
তরা মরলেও ত কেও থুতু ফেলে না,0
"পা চাটার বাচ্চা, গোলামের পুত",1
শালা কত বড় গুজবরে ভাইয়ের,0
কানাচোদা টিচার,1
সালার মানুষ হলে এমন পোস্ট করতো না সালারা তো সাউয়া লীগ ,1
পুলিশ শালার কথা কি আর বলব,0
বেয়াদব লীগ চোর ভাটপার এ দলে কুত্তা বিলাই সব,1
আরটিভি মাদাচোদ,1
বাইঞ্চুদ দের খাইয়া কাজ নাই,1
তুমি বালের ব্যবসা করতে আসিয়াছো পাগল,1
এইবার শাকিব ভাইয়া তার হারানো নুন্টুটা ফিরে পাবে জাতি আশা বাদি ,0
ডাক্তার আপু আপনি একটু লুঙ্গি উলটে দেখেন,0
নির্লজ্জ শালা,1
দালাল!,1
কুত্তা তাড়ানোর জন্য লাঠি থাকুক সব স্টুডেন্ট এর হাতে,0
শালা গোল আলু,0
হিজড়া লীগ,1
একটা ছাত্রলীগ তুমি জাগ্রত জানোয়ার।,1
সারা বিশ্বের বিস্ময় তুমি জাতির কুলাঙ্গার,1
ছাত্রলীগ বেজন্মা।,1
ওতার মারবেল দুইটা কাটিয়া রাখি লাইতো আছিল। নটির পুয়াইত্নে দেশ ধ্বংস করিলাইরা,1
আমার চোদার লীগ!,1
সুদানির পোয়া অক্কল.,1
ছাত্রলীগ যে করে সে হলো মা য়ের কুলাংগার সন্তান,1
এখন ছাত্রলীগ নামটা শুনলেই কেন জানি মনে হয় পতিতালয়ে জন্ম হওয়া এক গোষ্ঠী লোক ,1
কুত্তার বাচ্চা ,1
আমার বালের লীগ শাওয়ার লীগ,1
কুকুরের মলমূএ থেকে আগত লীগ,1
তগো ঘরে কি মা বোন নাই কুত্তার বাচ্চা ,1
মূলত যারা কুত্তার বীর্য থেকে জন্ম তারাই হলো ছাত্রলীগ!,1
বোকাচোদা কোথাকার,1
তোগো হেডা খানকির পোলারা,1
ছাত্রলীগ জারজসন্তান,1
নির্লজ্জ শাউয়ার পুতেরা,1
সাওয়া লীগ সব মাদার সোদ,1
বেজন্মা ,1
কুত্তার চুদারা কয় কি,1
ভাত পাইনা খাইতে। কক্সবাজার যায় চুদাইতে।,1
বেজন্মার বাচ্চা ,1
বোদার বাংলা ,1
এক একটা কুওা মরবো আমরা বলবো আলহামদুলিল্লাহ ,1
হারামি ,1
শালা তর বোনকে করি ,1
তোর দেশের মাইরে চুদি,1
খানকির পোলা এসব,1
তর মাঙ্গের ভিতরে হামা জয় বাংলা কইয়া কুলাঙ্গারের দল ,1
খানকির পোলারা সব মনুষ্যত্ব বলতে কিচ্ছু নাই,1
তোর ছাত্রলীগ এর মায়রে চুদি বাইঞ্চোদ ,1
এই শহরের বুকে জালাল মান্দারনাতী তগো চোদ্দগুষ্টি দালাল,1
ছাত্রলীগের মায়রে আমি চুদি এরা সব অযোগ্য এদের মাথায় চুরি করা ছাড়া কোনো চিন্তা নাই,1
জয় শুয়োরের বাচ্চা।,1
সাদ্দাম একটা জারজ সন্তান,1
"তোদের মুখে জয় বাংলা মানায় নারে, কুলাঙ্গারের বাচ্চারা ",1
চুদনির পুত ভাইটা।,1
সব মাগির পোলা গুলা ছাত্রলীগ করে,1
রাজার ওই ছাত্রলীগের খানিকর পোলারা,1
ছাএলীগ নামক খানকির পুত য়াইত ,1
তর বিজন্মলীগের মাইরে চুদি তগো বইনেগোরে কুত্তা দিয়া চুদামু খানকির পুলা বেশ্যা মাগির পুলারা,1
বন্ধ থাকুক লেখাপড়া বন্ধ থাকুক জাতি! আগামীতে দেশ চালাবে মুক্তিযোদ্ধার নাতী!,0
তসলিমা দেবীর নষ্ট জীবনের কষ্টের কাহিনী শুধু ফালতু লোকেরা শুনবে,1
তোর মুখ দেখেছি আজকে দিন ভালো যাবে বলে মনে হচ্ছেনা ,0
শরীর ছাড়া প্রেম হয় না। এতো অমোঘ সত্য।,0
নিলজ্জ তর মুখ দেখা মানে কুলক্ষণ নিলজ্জ আগুনের জন্য তৈরি হও,0
"সেফুদা কোথায়, আগুন নিভেগেলো,",0
তোমার থেকে বড় নির্লজ্জ এই পৃথিবীতে আর কেউ নাই,0
চুম্বনে চুম্বনে রাত ভরপুর চেনা ছন্দ অচেনা সুর।,0
"যৌনাঙ্গ চুমু খেতে হয়, তল পেটে চুমু খেতে হয়, বোকে চুমু খেতে হয়,",1
লাগানো ছাড়া এই মেয়ের কল্পনাতে আর কিছু আসে না.,0
এখন তোকে ছুইলে কারো দাঁড়াবে?,0
বাংলাদেশী নোংরা পণ্য আমাদের দেশে খুব প্রচলন,0
"স্টার মারানির পুতাইন, একটা একটাকে ধরে ড্রপ মারাই দিবো",1
ঐই হলো আরেকটি শুয়ারের ফুয়া,1
হ তুই চামছা ব্যারিস্টার,1
বানচুদ,1
কেউ বাকি থাকল না দালালি ছারা থাকতে,1
বাংলাদেশের তেলের পাম্প সুমন ,0
দালাল হ্লারপো ,1
"চরম চাপাবাজ, ধান্দাবাজ লোক ",1
"সুদন ভাই, তুমি মারাত্তক ",1
দালালের বাচ্চা দালাল।,1
এই ভদ্রলোকের কথা এর বাইরে আর কি হতে পারে,0
দালাল,1
আল্লাহর গজব পরুক তোদের উপর ,0
মাদারটোস্ট মানবতার ফেরিওয়ালা. দালাল দালালই থাকে।,1
দালালী কম কর! শিক্ষার্থীরা কম বুঝে না,0
সে তো দালাল পাচাটা গোলাম।,1
"দালাল আসছে ভালো সাজতে, চামচামি করতে",1
দালাল কে বয়কট করা হোক ,1
বেশি বুজস মাগির পুয়া,1
দালাল শালা,1
নাটক কম কর বাবা ,0
"বাঙালি বুঝেনা ব্যারিস্টার সুমন কিন্তু জাতে ঐডাই, ওরে দালাল",1
সালা বাটপার ,1
অভিনয় কম কর. খানকির পোলা ,1
অনেকেই জানেনা আন্দোলন কেন ,0
ফালতু,1
বোকাচোদা সব শুধু তুই জানস?,1
এখাকির পোলায় অরিজিনাল রাজাকার,1
রাম ছাগল,1
এইটা আরেক চুদানির পুলা,1
আর এক চুদির ভাই।,1
সালা দালাল।,1
"সঠিক সময়ের সঠিক দালালি করছে সুমন,",0
মাদারসুদ একলাইন বেশি বুঝছ তুই।,1
ইতে আর এক চুদানির পুয়া।,1
পুরো মাদারচোদ নতুন শিখতে হইবো না রে,1
দালালের চামচা,1
দালাল এর মাইরে চুদি,1
দালাল খানকির পোলা,1
তর বাবা মায়ের দুর্ঘটনায় জন্ম নেয়া সন্তান তুই ছাত্র সমাজ তথা সমগ্র জাতির শত্রু তুই,1
ধুর মাদারচোদ,1
"এই দালালের মারে ল, হালার পু হালা আসছে পা চাটতে",1
তুই তো কুলাঙ্গারের বাচ্চা রে শুয়োরের বাচ্চা আর মারে আনা তেলে সুদাও,1
হায়রে টাকায় কেনা কুত্তা ,0
"ওরে দেখে কুকুরেন বাচ্চার মত লাগে, মনে হয় ওর বাবা কুকুর ছিল",1
অরে জুতা,0
মেয়েদের গায়ে লাঠিচার্জ করা হিজরা,1
তুই শেষ পালাবি কোথা খানকির পোলা,1
কুলাঙ্গারের বাচ্চা জানুয়ার ,1
কুত্তার বাচ্চা কে সামনে পাইলে কুপিয়ে মেরে ফেরবো ,1
কুত্তার বাচ্চা মেয়েদের পিডাইছো। সাহস থাকলে সাহসি ছেলেদের পিডাইস।,1
অর নুনু কেটে দেওয়া উচিত,1
"চিনে রাখলাম, সামনে পড়লে মাংগের বেটার খবর আছে",1
সিঙ্গারা সমুচা কোটার কুকুর,0
জারজ টারে চিহ্নিত করে কবরে পাঠানো হোক,1
বেজন্মা কুত্তার বাচ্চা জন্ম ঠিক নাই,1
বাল পাকনা রে চিপায় নিয়ে বুম দেওয়া হোক চিপা মাইর,1
কুকুর কোথাকার ,1
কত বড় জালিম এরা ,1
মাদারচোদ রে কি যে করার মন চাইতাছে রে,1
শুয়রের বাচ্চার হাত থেতলে দিব ইনশাআল্লাহ।,1
একে খানকি ছাড়া কেউ জন্ম দেয়নি,1
সালাকে জুনিয়র সাকিবের বউয়ের হাতে তুলে দেওয়া দরকার বাইনচুদ,1
সবগুলোই টোকাই বস্তির ছেলে,1
"সালার ওটা কেটে পেলতে হবে, বাল লীগ",1
মাদারচোদ কুত্তা লীগের মারে ছুদি,1
এই চল পাটক্ষেত এ যায়,0
ধ্বংস হোক ,0
ওরে চুদির ভাই,1
ছাত্র লীগের আদর্শ সন্তানরা ,0
মাদারবোডে আসল রুপ প্রকাশ করছে।,1
সা'লা শিক্ষিত দালাল,0
অন্তত আপনি দালালি করিয়েন না. আপনার থেকে মানুষ ভালো কিছুর আশা রাখে.,0
শিক্ষিত দালাল চুপ থাক,0
দালাল এর বাচ্চা দালাল ,1
সালা দালাল তোদের উপর আল্লাহর গজব পড়ুক।,1
আরেক সোদানির পোয়া,1
চুতমারানির পুত এ দালাল.,1
"ছাএলীগ বলতে আমি অবৈধ সম্পদে বড় হওয়া, অবৈধ সন্তানকেই বুঝি।",1
সামারপো দালালের বাচ্চা দালাল,1
হালাপোলা আওয়ামীলিগের দালাল সুমন,1
ওরে দলাল রে ,0
"তুমি আমার বাল বক্তব্য দাও, দালাল।",1
মাদারবোর্ড দালালের বাচ্চা ,1
বেহায়া,1
পৃথিবীর এক নাম্বার বাটপার,1
বাচ্চা বাল পাকনা,1
রক্ত চায় আরো রক্ত রক্ত খেকো ডাইনি,0
ছি ছি শিক্ষার অভাব ,1
উনি আমাদের রাজ্যের মুখ্যমন্ত্রী। উনাকে নিয়ে এসব করা একদম উচিৎ হয়নি ,0
উন্নয়ন মেডাম,0
এই রেন্ডির ব্যাটার জেল হওয়া উচিত খানকির ছেলে রাজ্যের মুখ্যমন্ত্রী নিয়ে এইসব বানাচ্ছে ,1
ভীষন অসভ্য লোক বাস করে এই সমাজে।,1
ঢাকা বিশ্ববিদ্যালয় ডেন্ডি শাখা ,0
গাজার নৌউকা অনেক দূরে যায়,0
"ইডিট সুন্দর হইছৈ, মাদারবোর্ড",1
তাতে আমাদের বাল ছেড়া গেলো,1
নুনু কি জোড়া লাগছে? বর্তমানে টেনশনে আছি,1
কি রে মামা তর বিচি আছেত ,0
কুত্তা বাচ্ছা লজ্জা নেই,1
কি ভাই কেমন লাগতেছে আপনারা হ ওই যে কথা ছিল নুনু কাটা,1
হয়রে সাংবাদিক শান্তিতে রেস্টেও থাকতে দেয় না ,0
মাদারচোদ তুই নিজেও খারাপ,1
এখানে যারা দেলোয়ার হোসেন সাইদীকে নিয়ে কথা বলে আমি মনে করি তাদের জন্মের ঠিক নেই ,1
বালা করছে এক নারি হয় না তোর খানকির ছেলে,1
যারা বলতেছে এটা সাইঈী হুজুরের কন্ঠ তাদের জন্মের সমস্যা আচে,1
মাগির বাচ্চা,1
চেটে দাও ,0
তোমাদের ভিডিও দেখে আমারটা দাঁড়ায় গেছে ,0
নারি জাতের কলঙ্ক,1
পায়ু পথের যোদ্ধা ,0
পলিথিন তুলে একটু পোদ মেরে দে ,1
এই মাইয়া একটা ডেলি খুন্নি,0
যারা দাঁড়ায় দেখছে তারা জানোয়ারের বাচ্চা মানুষের বাচ্চা এগুলা কেউ দাঁড়াইয়া দেখতে পারে না ,1
মারামারি হচ্ছে এখানে এতো গুলো মানুষ নামের জানোয়ার গুলো দেখে ভিডিও করে দলরে না,1
এই খানকির ছেলে কে এই পাওয়ার কই থেকে পায়?,1
সালারে আইনের আওতায় আনা দরকার এভাবে কেও কারোরে মারে ,1
ছাড়া ছাড়া ভিডিও মধ্যে আছে তাদের সবাই কে আইনের আওতায় আনা হোক না দরে ভিডিও করে আবার দেখে ,0
ওই জায়গার লোকজন গুলো দাঁড়াইয়া দাঁড়াইয়া নিজের ধোন দেখছে ,1
"পরিবার থেকে শিক্ষা, এদের মা-বাপ কে গালি দেওয়া উচিত, ",0
আহারে মানুষ,0
এই কাজটা কিন্তু ঠিক হয়নি ,0
মানুষ মারে আর হ্যাঁ ফেসবুকে ভিডিও করে ,1
এটা আমাদের বাংলা দেশ এতো মানুষ কেও চেলেটা কে বাদা দিলো না ,0
"সাইডের গুলো বাল তোরা দেখছ , কুত্তা",1
খানকির পলারে আমি কি যে করতাম,1
"আ, আ, আহা আহা হবে এই বার",0
এই মেয়েকে আইনের আওতায় আনা উচিত,0
এর জন্ম হয়েছে আমার জানা মতে আবাসিক হোটেলে কন্ডম দুর্ঘটনায়,1
মা-বাবা যেমন ছেলে মেয়ে তেমনই হবে এটাই তো স্বাভাবিক ,0
এদের জন্ম হয়েছে আবাসিক হোটেলে কন্ডম দুর্ঘটনায়,1
প্রত্যেকটা মানুষ তার কৃতকর্মের ফল ভোগ করবে। নিশ্চয়ই আল্লাহ মহান।,0
এই হেডার সাংবাদিকদের কি আর কোনো কাজ নেই।,1
ধুর কুত্তার বাচ্চা আমার চোখের সামনে থেকে সর কুত্তার বাচ্চা,1
"এই মেয়েটাকে আইনের আলতা এনে, তাকে শাস্তি দেওয়া হোক",0
এই সব আগাছাদের বিরুদ্ধে এখনই কঠোর ব্যবস্থা নেওয়া উচিত,0
দেখেছি অনেক ভালো ছিলো নাটকটা,0
নাটকটা আমিও দেখেছি অসাধারণ এবং বাস্তব ভিত্তিক।,0
সেই সেই সেই হা হা হা প্রো ভার্সন,0
কবরের নিচে গেলে কি যে হবে ইয়া মাবুদ,0
এখন ইনজেকশন টা কোথায় দিতে হবে তা কি ডাক্তার জানিয়েছে?,0
কোনো ক্ষয়ক্ষতির খবর পাওয়া যায়নি?,0
"হালায় ইদুর ধরতে গেছিলো পরে দেখে ইদুর না, ওটা বাঘ",0
এখানে মেয়েদর কমেন্টই বেশী।ব্যাথাটা কি তাদেরই লাগলো?,0
১৪ টা ইনজেকশন দিতে হবে নাভির চারপাশে তাহলে বাঁচাতে পারো,0
ও মারা গেলে আমি আরো বেশি খুশি হইতাম,1
কুত্তার বাচ্চা এই ছেলে ,1
আশে পাশে এতো মানুষ থাকলে ও একলা কেমনে মারলো সালার মানুষ রে,1
এই গুলো কি হয়েছে বাংলাদেশে ,0
কাজ টা ঠিক হয়নি,0
সার্কাস দেখছে সাধারণ মানুষ,0
হালের বলদগুলায় দাড়াইয়া দেখতাছে,1
আর আপনি কি ভিডিও শুট করছিলেন কিছু ভিও লাভের আশায়,0
ওইটা আমার হাতে পরতো আসলো ,0
এত গুলা মানুষ বাল ছিড়তেছে ,1
যে মারলো ওরে গু খাওয়া নো হক ,1
এই শুয়োরের বাচ্চা মনে হয় ছাত্রলীগ,1
যত দেশের খানকির ছেলেরা জন্ম নিছে এই বাংলাদেশে,1
লোকজন দাঁড়াইয়া কার বাল ফালাইলো ,1
সালা মাদারচোদ ভিডিও করতেছে তুই মারামারি ঠেকানো বাদ দিয়ে ভিডিও করছিস কেন ছেলেটা একা ছিল তাই এভাবে মারতে পারছেন,1
সবকিছুই সীমা থাকা দরকার এই ছেলেটা সীমার বাইরে চলে গেছে তাকে আইনের আওতায় আনা হোক ,0
এতগুলো মানুষের সামনে কিভাবে মারে? সবাইকে পুলিশে দেয়া উচিত। ,0
ছেলেটাকে মারল আশেপাশের ছেলেগুলো তাকিয়ে দেখলো তারা কি কোন প্রতিবাদ করতে পারল না  এই হলো আমরা বাঙালি জাতি,0
"হাইরে মানুষ, বাংলা সিনেমার মতো সবাই তাকিয়ে আছে ",0
"আমি থাকতাম তাহলে যাইগা মতো ভইরা দিতাম,",0
"জানেয়ার, মানুষ হয়ে মানুষকে কি ভাবে মারতে পারে ",1
ওইখানে সব কয়টা হিজলা দাঁড়াই ছিলো ,0
আশেপাশের খানকির পোলারা কি দেখে,1
কালকের ছেলের ,0
তোদের কে পুটকি মারছে দারাই দারাই কি দেখছ আটকালে কি হতো ,1
ধিক্কার জানাই সেইসব অমানুষিক কাজ করা মানুষদের জন্য চি চি,1
আরে কুত্তার দল তোরা পাশে দাঁড়ায় আছোস কিল্লাইগা যদি ধরতে না পারোচ,1
কুত্তার বাচ্ছা ঐটার ফেসবুক আইডিটা কেউ দিতে পারবেন?,1
"এক বুইরা নডির মুত আছে দমক দেয় না, মনে হয় বুইরা বেডা না",1
খানকির পোলা ভিডিও না কইরা আটকানো উচিত ছিল তোর,1
বাকিরা সব কি করলো ,0
ক্যামেরা ম্যান একটা জারক!,1
"শালা টোকার বাচ্চা টোকাইরা,",1
শালার পুলারা তোরা বাল ফালাইয়া না ফিরাইয়া ভিডিও করন চুদাও,1
আবাল চোদার গায়ে এতোই শক্তি হয়ে গেছে ,1
ভাই আমার মনে হয় তুই চুরে পরে ঘুরে বেড়াস সাথে তোর এলাকার লোকও,0
পাশের মাগির বেটারা কি দাঁড়াই খেলা দেখতেছে কিছু কইতে পারল না মাগির বেটারেরা ,1
বাকি রা কি সব হিজলা নাকি সব খালি দেখলো ছি ছি ,1
বুকাচুদা বিডিও চুদাও মারে ফিরাস না কেন,1
আশা পাশের মানুষ গুলা হচ্ছে সব বড় চোদনা,1
মানুষ এখন পশু হয়েগেছে ,1
খানকির পোলা এক,1
এই খানকির পোলার বিচার চাই,1
একটা ছেলে কে মারতেছে আর সাথে থাকা মার্দাচোদ দাঁড়িয়ে দাঁড়িয়ে কি দেখতেছে ওই বুড়ো পাঠাও দাঁড়িয়ে দাঁড়িয়ে দেখতেছে,1
যে বান্দির পোলা ছাড়ছে ওয়ে আরেক আচুদা নটির ঘরে জন্ম। হালার পুত গান দিয়া ছাড়ছে।,1
পোলাপান ভাই মারোন চোদাও তোমার গুষ্টিসহ চুইদা দিতাম মাদারচোদ তোমারে পাইলে ,1
বালের ডায়লগ বাদ দি,1
সব কয়টার জন্ম পতিতালয়ে ,1
এই আপুদের ঠিকানা বড় ভাইদের বিছানা ,0
জনি সিং এর কাস্টমার বুঝাই যাচ্ছে পাড়াদের রাতের খাবার,0
মনে হচ্ছে কুকুর ঘেউ ঘেউ করতাছে ,0
"খেকশেয়াল এর মতন ঘর ঘর করতেসে! বেশি চোদা খাইসে, এনার্জি হাই",1
তুরে শুদি তুর নানিরেও শুদি শালি ঘরে শালি,1
সব খানকিলীগ,1
টোকায়দের রাতের বেড পার্টনার সুদানির জিভয়েস টা এমন কেন,1
হেইরে একটু জোর করে করে দেওয়া হোক ,0
তম্মা মাগীর হেডা,1
আমার কথাগুলো শুনতে একটু তিতা লাগবে তারপর বলতেছি ছাত্রলীগের মায়রে চুদি,1
তুরার হেডা মাগির বাচ্ছারা,1
প্রশিক্ষণ প্রাপ্ত মাগী বাকিটা বুঝে নেন,1
সামনের টার চেহেরা তো পুরা রামছাগলীর মতো ঠিকই আছে কুত্তা তো রাত ছাগল খায়,1
মাদারচোদের অনেক চুলকানি,1
মুকে লেচা গু ডলি দিতাম হাইল্লে মনে শান্তি পাইতাম,1
রাজধানীর দৌলতদিয়া শাখা,0
টোকায়দের রাতের বেড পার্টনার,0
ছাএলীগের গাই গরু ,0
চারদিকে খানা আর খানা,0
এদের মুখে থুথু ছিটালেও থুথু অপচয় হবে,1
খনিকের মেয়েরা ,1
মুজিব তোগো ভাতার লাগে পুটকি চাট,1
সবগুলা কনডম বিস্ফোরনে পয়দা,1
হিতির হেডায় কুরকুরে বেশি,1
ছিঃ ইয়াক থু মুখ দেখলেই বমি পাচ্ছে ,1
ওর গুচ্ছদ্বার মেরে দেওয়া হউক,1
হাজারো ছেলের রাতের খাবার,0
আস্তে দাও পিও অবিবাবক,0
তোর নানি সাওয়া,1
রাতের অন্ধকারে ঝোপঝারে এদের জন্ম হইছে,0
পুটকিলীগ।,1
খানকির দল ,1
এক শট কত করে নাও খানকি মাগি ,1
এগুলাকে দেখলেই বুঝা যায় বেশ্যাপাড়া থেকে উঠে আসছে। ১২ ভাতারি এগুলা,1
কিত্তাদি চোদা খাওয়াতে হইবো তোদের,1
তুমিই খানকি মাগী,1
শুয়োরলীগ দের নিয়মিত খাবার আহা,1
তোমারা হেডার নাতি,1
হেলমেট বাহিনীর পুটকি দিয়া রড ঢুকানো উচিত। মাদারচুদ রা আগে পুলিশলীগডিরে দর,1
পুলিশের হেডার অবস্থান,1
পুলিশ হলো মাদারবোর্ড,1
পুলিশ কানকি পুলাগোর সাতে যুদ্ধা করার দরকার এখন আহারে আমাদের সোনার বাংলা ,1
উচিত শিক্ষা হয়েছে  এরকম অনেকেই আছে মেয়েদের ইনবক্সে এসে এসব করে,0
কিছু পোলা এমন লুচ্চামি করে  ,1
সাথে ছেলেটার ও কষে একটা দেওয়ার দরকার ছিল,0
ঐ সালা নারীবাদী হিরোকে দিলে ভালো হতো,0
উচিত কাজ হইছে ,0
সাব্বাশ বেডাএটাই সেরা ছিলোআমি হলে ১০হাজার টাকার পুরাই দিতাম,0
মেয়ে হয়ে ছেলেদের গায়ে হাত দিতে পারলে ছেলে হলে গায়ে হাত দিলে সমস্যা কি ছেলে মেয়ের সবার সমান অধিকার,0
"এ সমাধান না কইরা, জরিমানা করে, বোকা চুদা ",1
পুরুষের মার টা মার আর মহিলার মার টা কি ফুল বুখাচুদা ছেলে,1
সব জায়গায় নারী পুরুষের সমান আধিকার আর এখানে সব পুরুষের দুষ বা খানকি মাগি।,1
এই বেডিকে বাদ দিয়ে ওই ছেলে কে দিলে আরো খুশি হতাম ,0
লুচ্চা মানিক ,1
ধরা পড়ছে রে লুচ্চা বদমাইশ,1
এইসব মানুষকে নিয়ে মেয়ে দেখতে যাওয়া তো দূরের কথা দাওয়াত ও দিতাম না,0
আমি হলে জীবনে করতাম না এ বিয়ে এত কিছু কেন দেখতে চাইবে ,0
এই কুসংস্কার বন্ধ হউক,0
"সামনের লোকগুলো মনে হয় নাসার গবেষক, পাত্রী নয় বিজ্ঞানী নিয়োগের জন্য এসেছে ",0
কাপর খুলে ফোটোটা দেখিয়ে দাও মাদারির বাচ্চাগুলাকে উফফ আমার তো অর্গাজম হয়ে গেল,1
"সামনের লোকগুলো মনে হয় নাসার গবেষক, পাত্রী নয় বিজ্ঞানী নিয়োগের জন্য এসেছে ",0
সময় টিভি আসলেই জারজ। সব জারজ দের এখানে চাকুরি দেওয়া হয়,1
হাউয়ার সময় টিভির হলুদ সাংবাদিক সব নাটক ,1
দালাল সাংবাদিক মিথ্যাবাদীদের দল ,1
নাটক কম কর পিয়। নতুন নাটক।,0
সরো য়ারের বাচ্চা কে পৃথিবী থেকে বিদায় করে দেওয়া দরকার ছিল ,1
কুত্তার বাচ্চা মরে নাই,1
দালাল টিভি,1
মরেনি তো ,0
"সময় টিভি হল আওয়ামীলীগের দালাল, কুত্তালীগের দালাল হামলা করছে ছাত্রলীগ নাম দেয় সাধারণ ছাত্রের উপর ",1
দালাল টিভি।,1
এই শিক্ষক এক সময় দোষ সাধারণ শিক্ষার্থীদের ওপর ,0
আহত নিহত ছাত্রলীগ একটি জঙ্গি সংগঠন,0
কুত্তা লীগের সর্দার,1
অবৈধ সন্তান। ,1
"বুইড়া পাডা, কুত্তার বাচ্চা তুই, তোরা!",1
কুত্তার বাচ্চা ,0
